# Teff     logg   Av    Bessell_U   Bessell_B   Bessell_V   Bessell_R   Bessell_I   Gaia_G   Gaia_BP   Gaia_RP   VISTA_Z     VISTA_Y    VISTA_J    VISTA_H    VISTA_Ks   DECam_u     DECam_g     DECam_r     DECam_i     DECam_z     DECam_Y     LSST_u      LSST_g      LSST_r      LSST_i      LSST_z      LSST_y      SDSS_u      SDSS_g      SDSS_r      SDSS_i      SDSS_z     
  3000.0   0.0    0.0   -7.094935   -6.893729   -5.598987   -3.543553   -1.428364   -2.988364     -5.765145      -1.517434      -0.617059   0.726283   1.916732   2.926396   3.263225   -6.05164    -6.076399   -4.389373   -2.092179   -0.720621   -0.10459    -7.723979   -6.38566    -4.769189   -2.338649   -1.249096   -0.254495   -8.104386   -6.534709   -4.833674   -2.383226   -0.91867   
  3000.0   0.5    0.0   -6.634809   -6.502197   -5.307854   -3.331833   -1.254432   -2.813356     -5.468596      -1.358688      -0.472243   0.805253   1.942417   2.930579   3.229258   -5.824374   -5.783508   -4.141347   -1.910569   -0.587295   -0.004955   -7.261099   -6.048551   -4.505843   -2.156476   -1.092236   -0.141767   -7.644204   -6.187301   -4.566083   -2.200568   -0.780576  
  3000.0   1.0    0.0   -6.183151   -6.094556   -5.004767   -3.101969   -1.055656   -2.615348     -5.161065      -1.177353      -0.305713   0.900297   1.973532   2.925395   3.183565   -5.563345   -5.462416   -3.887299   -1.704536   -0.433263   0.112106    -6.807631   -5.689484   -4.238979   -1.949036   -0.912814   -0.0103     -7.193109   -5.817294   -4.294923   -1.992787   -0.621108  
  3000.0   1.5    0.0   -5.759597   -5.696776   -4.715153   -2.876538   -0.849912   -2.412751     -4.867624      -0.990249      -0.131914   1.001286   2.007402   2.910061   3.127659   -5.290511   -5.138055   -3.651327   -1.492922   -0.273444   0.23414     -6.38381    -5.334361   -3.994248   -1.736281   -0.726991   0.126397    -6.769428   -5.451561   -4.045964   -1.779984   -0.455247  
  3000.0   2.0    0.0   -5.382222   -5.332596   -4.470113   -2.680255   -0.653991   -2.223714     -4.618655      -0.81303       0.035876    1.100478   2.042184   2.883285   3.063489   -5.028596   -4.837018   -3.46448    -1.293425   -0.119683   0.352261    -6.007816   -5.010651   -3.806622   -1.536985   -0.548827   0.258304    -6.390123   -5.117459   -3.854452   -1.581013   -0.295442  
  3000.0   2.5    0.0   -5.070542   -5.022939   -4.270794   -2.512593   -0.479742   -2.057242     -4.411683      -0.6559        0.185206    1.190769   2.076633   2.843054   2.994058   -4.801591   -4.578963   -3.313504   -1.116421   0.01734     0.458454    -5.697942   -4.736386   -3.657999   -1.359794   -0.390888   0.376359    -6.07293    -4.834544   -3.702836   -1.40424    -0.152952  
  3000.0   3.0    0.0   -4.911844   -4.776304   -4.021025   -2.315817   -0.30916    -1.882673     -4.172573      -0.500628      0.32734     1.25654    2.087751   2.746294   2.922386   -4.663674   -4.309648   -3.106309   -0.940066   0.136207    0.539732    -5.530951   -4.457514   -3.450131   -1.182566   -0.241256   0.469342    -5.894442   -4.560709   -3.491801   -1.22724    -0.023511  
  3000.0   3.5    0.0   -4.864066   -4.57518    -3.656106   -2.06454    -0.122675   -1.693307     -3.845907      -0.340797      0.466216    1.298803   2.074671   2.656687   2.864242   -4.595855   -4.019309   -2.79065    -0.741301   0.241063    0.597666    -5.478217   -4.143886   -3.101846   -0.979437   -0.093321   0.540726    -5.831756   -4.272338   -3.134655   -1.025527   0.096542   
  3000.0   4.0    0.0   -4.839275   -4.369218   -3.248394   -1.774861   0.055249    -1.500489     -3.464054      -0.185799      0.589668    1.326401   2.057729   2.580319   2.80277    -4.561632   -3.726367   -2.398478   -0.545969   0.329416    0.639185    -5.454134   -3.8228     -2.668063   -0.773733   0.039339    0.594954    -5.799011   -3.977303   -2.693546   -0.820293   0.201504   
  3000.0   4.5    0.0   -5.034861   -4.37158    -3.114407   -1.676353   0.121557    -1.431566     -3.346457      -0.129914      0.637537    1.316658   2.041652   2.555988   2.788187   -4.660537   -3.646597   -2.277341   -0.473948   0.359661    0.641775    -5.637327   -3.738389   -2.529083   -0.703366   0.091298    0.605903    -5.976059   -3.91558    -2.54704    -0.751065   0.240215   
  3000.0   5.0    0.0   -5.377551   -4.49628    -3.105615   -1.6566     0.145817    -1.41584      -3.345683      -0.113481      0.656536    1.29081    2.036175   2.575774   2.798109   -4.827907   -3.681593   -2.260765   -0.446639   0.371309    0.631346    -5.963523   -3.776864   -2.501286   -0.683879   0.113906    0.604726    -6.297854   -3.979255   -2.511458   -0.733386   0.255757   
  3200.0   -1.0   0.0   -7.480736   -5.735222   -4.028871   -2.376333   -0.414578   -2.013328     -4.335139      -0.64713       0.150138    1.039374   1.865769   2.764171   3.136332   -5.717343   -4.632008   -3.110087   -1.032777   -0.083249   0.298564    -8.117653   -4.784417   -3.437869   -1.250541   -0.413554   0.223615    -8.519674   -4.986196   -3.480078   -1.300121   -0.225158  
  3200.0   -0.5   0.0   -7.146362   -5.751931   -4.195111   -2.500374   -0.514413   -2.112111     -4.481155      -0.734114      0.069022    1.009116   1.864731   2.79762    3.147994   -5.702608   -4.753269   -3.261106   -1.137594   -0.141596   0.264705    -7.781476   -4.912438   -3.592629   -1.356002   -0.499578   0.185317    -8.182859   -5.090961   -3.638223   -1.404491   -0.293676  
  3200.0   0.0    0.0   -6.793722   -5.719782   -4.299527   -2.580181   -0.588059   -2.180948     -4.561016      -0.796673      0.009679    0.988234   1.868711   2.824061   3.151349   -5.651166   -4.828233   -3.348999   -1.213894   -0.184692   0.240472    -7.426337   -4.990016   -3.67846    -1.432423   -0.56277    0.156991    -7.827261   -5.150531   -3.725422   -1.479939   -0.343783  
  3200.0   0.5    0.0   -6.423874   -5.622051   -4.330266   -2.607221   -0.621889   -2.208277     -4.567411      -0.823181      -0.016125   0.982062   1.877877   2.84387    3.145864   -5.551009   -4.835718   -3.369853   -1.24829    -0.201756   0.233363    -7.053883   -4.995131   -3.694621   -1.466964   -0.590684   0.147851    -7.453797   -5.141187   -3.741744   -1.513633   -0.364496  
  3200.0   1.0    0.0   -6.044069   -5.451631   -4.278638   -2.573438   -0.604204   -2.183813     -4.494781      -0.803327      0.001658    0.99605    1.892745   2.856157   3.129694   -5.396957   -4.760937   -3.320536   -1.229051   -0.182838   0.250789    -6.672436   -4.912635   -3.639303   -1.448054   -0.572384   0.166697    -7.070108   -5.046759   -3.685587   -1.494019   -0.345855  
  3200.0   1.5    0.0   -5.669081   -5.217406   -4.147611   -2.479837   -0.532719   -2.106107     -4.348282      -0.735199      0.065049    1.031871   1.913218   2.859283   3.101012   -5.198507   -4.604148   -3.206831   -1.154391   -0.125659   0.294732    -6.297459   -4.743678   -3.518605   -1.373993   -0.505869   0.215838    -6.69107    -4.868634   -3.562948   -1.419431   -0.285747  
  3200.0   2.0    0.0   -5.318241   -4.944449   -3.953978   -2.339068   -0.418519   -1.986183     -4.145507      -0.629039      0.164092    1.084763   1.937887   2.851299   3.059128   -4.979392   -4.384458   -3.043567   -1.035763   -0.038949   0.358988    -5.948885   -4.509373   -3.346615   -1.25604    -0.401698   0.288074    -6.336062   -4.628942   -3.387752   -1.301173   -0.193303  
  3200.0   2.5    0.0   -5.007302   -4.661968   -3.725774   -2.170848   -0.278569   -1.841076     -3.913648      -0.500295      0.283831    1.148178   1.965652   2.829561   3.004754   -4.765118   -4.132676   -2.853827   -0.890972   0.064389    0.434852    -5.642348   -4.243114   -3.146628   -1.111568   -0.275977   0.373079    -6.020303   -4.361111   -3.183619   -1.156651   -0.082275  
  3200.0   3.0    0.0   -4.751791   -4.397759   -3.493332   -1.996867   -0.129181   -1.688167     -3.682366      -0.364042      0.410162    1.215455   1.993769   2.788399   2.939084   -4.577938   -3.880093   -2.663078   -0.736703   0.172801    0.514328    -5.391901   -3.978202   -2.945881   -0.957213   -0.143398   0.46167     -5.757814   -4.098325   -2.97801    -1.002625   0.034801   
  3200.0   3.5    0.0   -4.561436   -4.13215    -3.175607   -1.765162   0.047718    -1.500528     -3.379572      -0.203323      0.553393    1.279226   2.003412   2.699218   2.859517   -4.425794   -3.58184    -2.391158   -0.551227   0.288178    0.591385    -5.203193   -3.665641   -2.654168   -0.76894    0.006933    0.54894     -5.554206   -3.797707   -2.679206   -0.814902   0.163613   
  3200.0   4.0    0.0   -4.469994   -3.904057   -2.813776   -1.504173   0.207885    -1.313684     -3.038706      -0.05512       0.675602    1.313108   1.988784   2.595289   2.785216   -4.343273   -3.287102   -2.061784   -0.378676   0.376009    0.637163    -5.110266   -3.356011   -2.293964   -0.589728   0.13553     0.603769    -5.447289   -3.507231   -2.310632   -0.635648   0.268152   
  3200.0   4.5    0.0   -4.513183   -3.796302   -2.574577   -1.322891   0.301871    -1.1943       -2.81152       0.03421        0.743434    1.316887   1.971781   2.537359   2.739588   -4.360184   -3.117254   -1.83051    -0.274955   0.419572    0.650048    -5.149312   -3.177172   -2.037325   -0.480516   0.207368    0.623069    -5.47648    -3.346314   -2.047077   -0.526152   0.32371    
  3200.0   5.0    0.0   -4.677029   -3.78864    -2.439027   -1.208939   0.353423    -1.125411     -2.681411      0.083724       0.778095    1.301213   1.954955   2.515363   2.722327   -4.454424   -3.046021   -1.685088   -0.215704   0.437782    0.643753    -5.303909   -3.101166   -1.873466   -0.418765   0.24504     0.622757    -5.624903   -3.288291   -1.877323   -0.46443    0.350202   
  3500.0   -1.0   0.0   -6.900188   -4.048162   -1.960756   -0.8436     0.29906     -1.011398     -2.253975      0.07813        0.640331    1.147341   1.79618    2.556889   2.882405   -5.392348   -2.885031   -1.157458   -0.236243   0.244871    0.439861    -7.544776   -2.917049   -1.30194    -0.357949   0.110163    0.388228    -7.924891   -3.168569   -1.314515   -0.392481   0.182978   
  3500.0   -0.5   0.0   -6.562642   -3.969785   -2.012204   -0.915739   0.28038     -1.050481     -2.310137      0.048718       0.627367    1.129319   1.784777   2.592011   2.899214   -5.332005   -2.866733   -1.246636   -0.259287   0.23703     0.430418    -7.203662   -2.901419   -1.396032   -0.39147    0.097477    0.384339    -7.58838    -3.140215   -1.406358   -0.427322   0.173264   
  3500.0   0.0    0.0   -6.235245   -3.913867   -2.084127   -0.995731   0.261492    -1.093107     -2.383461      0.019928       0.616246    1.119537   1.779551   2.62163    2.909995   -5.250948   -2.873002   -1.346684   -0.282864   0.232738    0.427431    -6.872757   -2.910838   -1.504101   -0.425389   0.086255    0.385987    -7.262563   -3.136757   -1.513728   -0.462581   0.166056   
  3500.0   0.5    0.0   -5.916733   -3.874795   -2.170216   -1.079368   0.240986    -1.137915     -2.467656      -0.008843      0.604918    1.115309   1.779239   2.647269   2.916876   -5.149321   -2.898764   -1.452357   -0.308126   0.229743    0.428318    -6.551236   -2.939827   -1.619661   -0.460304   0.074486    0.390548    -6.944878   -3.152552   -1.629917   -0.498734   0.159233   
  3500.0   1.0    0.0   -5.608349   -3.84506    -2.262398   -1.161218   0.219147    -1.182271     -2.554536      -0.03689       0.592904    1.114916   1.782938   2.669291   2.920498   -5.027947   -2.936407   -1.556711   -0.334553   0.227091    0.431523    -6.241013   -2.980445   -1.734358   -0.495234   0.061767    0.396471    -6.635666   -3.179686   -1.746137   -0.534721   0.152119   
  3500.0   1.5    0.0   -5.313896   -3.81561    -2.349964   -1.233903   0.198664    -1.22159      -2.633447      -0.061482      0.581861    1.117884   1.790239   2.687423   2.920586   -4.890249   -2.975895   -1.650682   -0.359198   0.225641    0.436942    -5.946782   -3.022373   -1.837722   -0.526889   0.049885    0.40378     -6.338698   -3.208236   -1.851338   -0.5672     0.146018   
  3500.0   2.0    0.0   -5.03872    -3.777038   -2.420168   -1.288782   0.18462     -1.249586     -2.692324      -0.07794       0.575647    1.125031   1.80118    2.70071    2.915787   -4.742981   -3.004842   -1.723658   -0.37661    0.228174    0.445943    -5.674455   -3.052968   -1.917938   -0.549614   0.042968    0.414113    -6.05954    -3.226345   -1.933111   -0.590504   0.14433    
  3500.0   2.5    0.0   -4.788788   -3.720933   -2.459448   -1.31672    0.184033    -1.258784     -2.719107      -0.080035      0.579963    1.138216   1.816076   2.707463   2.903722   -4.595121   -3.010244   -1.765171   -0.379573   0.239001    0.461063    -5.429982   -3.059002   -1.963703   -0.556216   0.046936    0.430449    -5.80451    -3.221833   -1.979609   -0.597473   0.152077   
  3500.0   3.0    0.0   -4.568009   -3.638706   -2.451629   -1.306178   0.206295    -1.239424     -2.699823      -0.059323      0.602586    1.16056    1.835428   2.702605   2.879742   -4.453954   -2.976762   -1.761931   -0.358254   0.264308    0.486232    -5.216463   -3.024848   -1.960845   -0.536878   0.069981    0.457303    -5.57772    -3.180397   -1.9761     -0.578345   0.176305   
  3500.0   3.5    0.0   -4.373676   -3.516199   -2.364186   -1.23194    0.266088    -1.173222     -2.605198      -0.001358      0.655331    1.19558    1.854706   2.671213   2.834713   -4.318603   -2.880167   -1.683822   -0.297046   0.312681    0.526114    -5.028664   -2.925533   -1.876909   -0.47525    0.124232    0.500116    -5.374603   -3.079173   -1.889369   -0.516682   0.227125   
  3500.0   4.0    0.0   -4.192164   -3.337198   -2.155867   -1.061281   0.371926    -1.041549     -2.396816      0.104677       0.742875    1.239014   1.860065   2.587436   2.75958    -4.179055   -2.69424    -1.487274   -0.184826   0.384645    0.576882    -4.849601   -2.733661   -1.664642   -0.357486   0.214697    0.555179    -5.178413   -2.89214    -1.671896   -0.398146   0.307093   
  3500.0   4.5    0.0   -4.064875   -3.176068   -1.936734   -0.87934    0.467173    -0.91041      -2.178926      0.204051       0.8178      1.266943   1.853132   2.493612   2.683528   -4.079338   -2.514007   -1.273157   -0.081264   0.441871    0.611319    -4.723124   -2.547047   -1.432034   -0.245721   0.292224    0.593262    -5.036142   -2.712206   -1.434251   -0.285067   0.373263   
  3500.0   5.0    0.0   -4.047757   -3.096129   -1.792216   -0.75213    0.523998    -0.824639     -2.034303      0.265908       0.859378    1.27276    1.84377    2.439715   2.635692   -4.064389   -2.411895   -1.123392   -0.017707   0.470368    0.622152    -4.70573    -2.44037    -1.267259   -0.175901   0.335292    0.607025    -5.007442   -2.613185   -1.265536   -0.214223   0.40822    
  3750.0   -1.0   0.0   -6.466847   -3.334838   -1.307875   -0.338352   0.481453    -0.6443       -1.617371      0.316184       0.747074    1.184064   1.757534   2.398638   2.68033    -5.258723   -2.21667    -0.577255   -0.018317   0.319791    0.477017    -7.139312   -2.231919   -0.686916   -0.085301   0.22428     0.422624    -7.481151   -2.453985   -0.704928   -0.107092   0.274381   
  3750.0   -0.5   0.0   -6.111242   -3.234074   -1.301426   -0.356162   0.470574    -0.653619     -1.609056      0.300778       0.7351      1.156033   1.738908   2.431921   2.698833   -5.178771   -2.167263   -0.597869   -0.030073   0.307818    0.45801     -6.775638   -2.181993   -0.704975   -0.102045   0.212998    0.409211    -7.122812   -2.39586    -0.720744   -0.123991   0.263143   
  3750.0   0.0    0.0   -5.76901    -3.151533   -1.308456   -0.37843    0.463972    -0.664632     -1.611591      0.288226       0.728485    1.135886   1.724736   2.459564   2.710913   -5.071687   -2.136219   -0.624643   -0.038146   0.302055    0.446608    -6.426107   -2.15082    -0.730952   -0.115781   0.207051    0.403272    -6.778515   -2.357935   -0.744608   -0.138233   0.257626   
  3750.0   0.5    0.0   -5.448416   -3.085944   -1.328361   -0.406915   0.459762    -0.678897     -1.625505      0.276637       0.72564     1.122635   1.715027   2.483402   2.719147   -4.942178   -2.121745   -0.659537   -0.04464    0.300804    0.441221    -6.099213   -2.136623   -0.766517   -0.128658   0.204736    0.403025    -6.456284   -2.337803   -0.778098   -0.151995   0.256146   
  3750.0   1.0    0.0   -5.154157   -3.034373   -1.359851   -0.442195   0.456666    -0.696889     -1.650217      0.264974       0.725348    1.115276   1.709612   2.504212   2.724849   -4.797334   -2.120869   -0.703104   -0.050764   0.302841    0.440616    -5.800131   -2.136389   -0.812055   -0.141789   0.204802    0.407119    -6.160723   -2.331798   -0.821636   -0.166337   0.257467   
  3750.0   1.5    0.0   -4.888795   -2.99375    -1.400664   -0.483247   0.454016    -0.717956     -1.683839      0.253068       0.726729    1.112885   1.708289   2.522293   2.728741   -4.646563   -2.130363   -0.754122   -0.056968   0.307213    0.443775    -5.532302   -2.146785   -0.866175   -0.155356   0.206354    0.414431    -5.894339   -2.336203   -0.873934   -0.181331   0.260667   
  3750.0   2.0    0.0   -4.653636   -2.961223   -1.447541   -0.527677   0.451684    -0.740594     -1.723291      0.241402       0.72925     1.114573   1.710696   2.537536   2.730963   -4.500035   -2.146757   -0.809824   -0.063119   0.313254    0.449878    -5.297629   -2.164204   -0.925806   -0.168893   0.208875    0.424073    -5.657907   -2.347362   -0.932005   -0.196375   0.26516    
  3750.0   2.5    0.0   -4.449406   -2.934301   -1.496327   -0.571856   0.450485    -0.76243      -1.764476      0.231303       0.733178    1.119925   1.716664   2.549541   2.731096   -4.366583   -2.166447   -0.865987   -0.068096   0.321059    0.458715    -5.0971     -2.184896   -0.986288   -0.180945   0.212719    0.435852    -5.451704   -2.361773   -0.991188   -0.209904   0.271172   
  3750.0   3.0    0.0   -4.275766   -2.910051   -1.54131    -0.61058    0.452419    -0.779938     -1.801712      0.225158       0.739838    1.129085   1.726193   2.557373   2.727772   -4.251461   -2.184984   -0.916824   -0.069729   0.331565    0.470687    -4.929848   -2.204272   -1.041178   -0.189051   0.219268    0.450259    -5.274982   -2.375358   -1.044884   -0.219386   0.279857   
  3750.0   3.5    0.0   -4.12945    -2.882008   -1.570314   -0.632546   0.463506    -0.784797     -1.823075      0.2295         0.75406     1.144408   1.739687   2.555217   2.715616   -4.153612   -2.193107   -0.949645   -0.061582   0.348856    0.488681    -4.791188   -2.212863   -1.076754   -0.186249   0.233516    0.470447    -5.124044   -2.379538   -1.079077   -0.217761   0.295719   
  3750.0   4.0    0.0   -3.992058   -2.830337   -1.544383   -0.602635   0.498722    -0.752538     -1.791172      0.262296       0.78758     1.169746   1.750435   2.522121   2.679487   -4.054182   -2.162714   -0.923174   -0.026678   0.381686    0.517612    -4.658743   -2.181746   -1.049356   -0.153102   0.267505    0.501723    -4.977059   -2.346852   -1.050126   -0.185013   0.328982   
