# Teff   logg   Av   Bessell_U   Bessell_B   Bessell_V   Bessell_R   Bessell_I   Gaia_G_EDR3   Gaia_BP_EDR3   Gaia_RP_EDR3   VISTA_Z     VISTA_Y    VISTA_J    VISTA_H    VISTA_Ks   DECam_u     DECam_g     DECam_r     DECam_i     DECam_z     DECam_Y     LSST_u      LSST_g      LSST_r      LSST_i      LSST_z      LSST_y     
  3000.0   1.5      0.0    -5.632273   -5.397488   -4.43707    -2.637459   -0.591776   -2.178336     -4.615767      -0.771028      0.067646    1.094223   2.004538   2.894491   3.084036   -5.156178   -4.828606   -3.450831   -1.229599   -0.101375   0.349895    -6.258934   -5.003789   -3.798812   -1.46585    -0.512848   0.261624   
  3000.0   2.0      0.0    -5.276011   -5.064027   -4.207468   -2.463152   -0.420116   -2.012078     -4.383288      -0.617138      0.213366    1.177569   2.038056   2.861071   3.01807    -4.919536   -4.550881   -3.28195    -1.054262   0.028141    0.447569    -5.906294   -4.70655    -3.629789   -1.291349   -0.358756   0.370608   
  3000.0   2.5      0.0    -4.999826   -4.786256   -3.996629   -2.301016   -0.263925   -1.860299     -4.170198      -0.477585      0.344091    1.251965   2.068271   2.809038   2.948138   -4.72538    -4.306902   -3.120504   -0.894016   0.143387    0.534202    -5.63336    -4.447408   -3.465122   -1.13091    -0.220839   0.467001   
  3000.0   3.0      0.0    -4.916523   -4.566776   -3.664428   -2.067854   -0.103286   -1.683075     -3.863558      -0.331623      0.470895    1.291561   2.060754   2.692964   2.88271    -4.639364   -4.019289   -2.828312   -0.722999   0.237944    0.587234    -5.542148   -4.146986   -3.151549   -0.957096   -0.087476   0.530608   
  3000.0   3.5      0.0    -4.932409   -4.410963   -3.320132   -1.83333    0.038969    -1.523885     -3.546564      -0.205861      0.573981    1.308193   2.039543   2.604592   2.830408   -4.617891   -3.769659   -2.50304    -0.567175   0.308118    0.61595     -5.555334   -3.877851   -2.784865   -0.796229   0.021917    0.569849   
  3000.0   4.0      0.0    -4.947547   -4.264167   -3.028191   -1.625538   0.166879    -1.386686     -3.267675      -0.0946        0.664796    1.322813   2.028357   2.558863   2.789081   -4.632105   -3.580842   -2.240074   -0.436938   0.365627    0.637971    -5.588001   -3.668928   -2.491644   -0.662434   0.111675    0.601891   
  3000.0   4.5      0.0    -5.209682   -4.330962   -2.967215   -1.572856   0.200304    -1.353817     -3.213967      -0.068315      0.688188    1.300769   2.013993   2.551279   2.784606   -4.753643   -3.556223   -2.165279   -0.39112    0.382829    0.632168    -5.819756   -3.643062   -2.400048   -0.620863   0.145073    0.603551   
  3000.0   5.0      0.0    -5.637088   -4.51587    -3.013719   -1.579904   0.209924    -1.357546     -3.258905      -0.065677      0.697177    1.26887    2.014745   2.598341   2.81215    -4.926727   -3.609609   -2.146795   -0.365653   0.392207    0.618279    -6.194975   -3.70004    -2.366324   -0.604205   0.165683    0.599371   
  3200.0   -1.0     0.0    -7.467347   -5.590379   -3.798401   -2.224284   -0.327721   -1.915588     -4.107698      -0.573002      0.211654    1.018059   1.82617    2.7794     3.137452   -5.700042   -4.4587     -2.89383    -0.936527   -0.051719   0.290967    -8.097558   -4.593207   -3.201911   -1.153341   -0.347195   0.226366   
  3200.0   -0.5     0.0    -7.108457   -5.54767    -3.91628    -2.316853   -0.390534   -1.981011     -4.21444       -0.628452      0.161207    1.003622   1.827941   2.808115   3.142427   -5.661926   -4.517085   -3.015736   -1.003505   -0.083805   0.275949    -7.738118   -4.654646   -3.330699   -1.221215   -0.400572   0.209592   
  3200.0   0.0      0.0    -6.727886   -5.464415   -3.978771   -2.364408   -0.427293   -2.016087     -4.259016      -0.658887      0.1325      1.000057   1.836143   2.830101   3.138746   -5.585651   -4.537905   -3.076293   -1.042511   -0.099778   0.272046    -7.356729   -4.675168   -3.391988   -1.260146   -0.431327   0.204208   
  3200.0   0.5      0.0    -6.331565   -5.327188   -3.976041   -2.363081   -0.428576   -2.013391     -4.236909      -0.656788      0.133463    1.01042    1.850362   2.845157   3.125603   -5.462477   -4.502056   -3.075151   -1.044087   -0.092582   0.283809    -6.959614   -4.635385   -3.388044   -1.261326   -0.430852   0.215975   
  3200.0   1.0      0.0    -5.934237   -5.136318   -3.908039   -2.313977   -0.390341   -1.97037      -4.151549      -0.619052      0.167681    1.036411   1.870151   2.852163   3.101717   -5.293529   -4.402845   -3.018265   -1.004356   -0.058479   0.313896    -6.562755   -4.528974   -3.326661   -1.221282   -0.39514    0.248249   
  3200.0   1.5      0.0    -5.555473   -4.902806   -3.779034   -2.221167   -0.314384   -1.889241     -4.009397      -0.547503      0.233727    1.077123   1.894473   2.849452   3.066134   -5.092993   -4.243832   -2.912732   -0.925632   0.001259    0.361274    -6.186352   -4.360183   -3.215013   -1.142542   -0.325943   0.300054   
  3200.0   2.0      0.0    -5.213427   -4.64471    -3.597244   -2.091077   -0.207896   -1.776626     -3.819735      -0.448583      0.325173    1.128997   1.921723   2.835262   3.019008   -4.883448   -4.037217   -2.765137   -0.815323   0.08095     0.421691    -5.84898    -4.142177   -3.058296   -1.032319   -0.23011    0.366598   
  3200.0   2.5      0.0    -4.922413   -4.384727   -3.380565   -1.934611   -0.082422   -1.643445     -3.599967      -0.332462      0.431544    1.187344   1.950356   2.805298   2.960399   -4.688115   -3.80609    -2.587021   -0.685258   0.171897    0.489274    -5.564238   -3.899569   -2.867536   -0.90176    -0.118808   0.441049   
  3200.0   3.0      0.0    -4.688873   -4.13173    -3.124377   -1.747686   0.062       -1.488597     -3.347887      -0.199117      0.551707    1.249246   1.971851   2.741513   2.889055   -4.51838    -3.554031   -2.372353   -0.534917   0.271996    0.561155    -5.335745   -3.636165   -2.636239   -0.749786   0.006772    0.520402   
  3200.0   3.5      0.0    -4.533167   -3.877952   -2.768826   -1.487699   0.223605    -1.298963     -3.005742      -0.046882      0.679107    1.297177   1.970207   2.622659   2.804815   -4.392383   -3.255229   -2.047959   -0.361676   0.369116    0.620409    -5.179677   -3.322957   -2.280716   -0.570204   0.140386    0.587701   
  3200.0   4.0      0.0    -4.514978   -3.729128   -2.488333   -1.270259   0.325879    -1.159891     -2.732774      0.054679       0.752463    1.305645   1.952712   2.545781   2.747888   -4.368788   -3.059707   -1.785491   -0.250669   0.417364    0.638398    -5.159032   -3.11691    -1.989261   -0.451932   0.217353    0.611397   
  3200.0   4.5      0.0    -4.607623   -3.681948   -2.330782   -1.141279   0.382075    -1.080703     -2.578282      0.110615       0.79098     1.29714    1.936612   2.508486   2.719093   -4.425942   -2.970793   -1.628147   -0.187883   0.43926     0.638015    -5.25357    -3.022353   -1.811267   -0.385595   0.258062    0.61577    
  3200.0   5.0      0.0    -4.821875   -3.732983   -2.276783   -1.084186   0.405246    -1.050226     -2.523097      0.131965       0.805378    1.274114   1.923288   2.510013   2.720004   -4.553167   -2.959873   -1.536435   -0.156681   0.441553    0.620233    -5.464565   -3.008361   -1.703635   -0.354017   0.274126    0.603369   
  3500.0   -1.0     0.0    -6.87696    -4.035288   -1.918848   -0.799586   0.290309    -0.995388     -2.206106      0.079759       0.62493     1.110455   1.767808   2.581065   2.89084    -5.407333   -2.875589   -1.096771   -0.238593   0.224129    0.408838    -7.517049   -2.904273   -1.238284   -0.354752   0.094716    0.360284   
  3500.0   -0.5     0.0    -6.520645   -3.917848   -1.933622   -0.846796   0.278499    -1.018789     -2.225909      0.058679       0.615241    1.092207   1.753565   2.61084    2.902674   -5.338687   -2.822949   -1.155904   -0.253669   0.217555    0.398889    -7.15831    -2.852904   -1.297962   -0.377968   0.085611    0.355834   
  3500.0   0.0      0.0    -6.174166   -3.82869    -1.973179   -0.905156   0.267268    -1.047512     -2.266864      0.037858       0.60879     1.083019   1.746709   2.63612    2.90963    -5.246219   -2.798774   -1.228942   -0.268562   0.215876    0.396449    -6.809298   -2.830754   -1.375023   -0.401546   0.07959     0.35803    
  3500.0   0.5      0.0    -5.838821   -3.762015   -2.030218   -0.969706   0.255864    -1.079394     -2.32224       0.017514       0.603952    1.080502   1.74586    2.657832   2.913013   -5.131336   -2.798243   -1.311151   -0.284426   0.216618    0.398729    -6.472797   -2.832586   -1.463761   -0.426033   0.074417    0.364055   
  3500.0   1.0      0.0    -5.518612   -3.708176   -2.094185   -1.033046   0.24545     -1.110189     -2.381778      -4.79E-4       0.600776    1.083284   1.750083   2.675908   2.912867   -4.996138   -2.809909   -1.392471   -0.2989     0.219985    0.40522     -6.152662   -2.846516   -1.552648   -0.448371   0.070968    0.373435   
  3500.0   1.5      0.0    -5.219      -3.656637   -2.15295    -1.086618   0.239097    -1.134327     -2.433635      -0.012779      0.601119    1.09116    1.758992   2.68962    2.908217   -4.847344   -2.822689   -1.463218   -0.308868   0.226895    0.41591     -5.855521   -2.861116   -1.630571   -0.464973   0.071016    0.386307   
  3500.0   2.0      0.0    -4.945969   -3.598146   -2.194231   -1.121937   0.241189    -1.145768     -2.466192      -0.015152      0.608182    1.104765   1.772516   2.697707   2.897317   -4.694547   -2.825035   -1.513468   -0.309705   0.239621    0.431878    -5.587636   -2.864571   -1.686337   -0.470938   0.077925    0.404001   
  3500.0   2.5      0.0    -4.704898   -3.526      -2.206662   -1.131213   0.256744    -1.1386       -2.469208      -0.003029      0.625865    1.125096   1.790464   2.697868   2.877672   -4.547824   -2.806699   -1.534195   -0.296169   0.261061    0.45463     -5.353908   -2.846437   -1.709867   -0.46094    0.095809    0.428373   
  3500.0   3.0      0.0    -4.498505   -3.432975   -2.172916   -1.100848   0.293893    -1.102861     -2.427042      0.031508       0.660676    1.154241   1.811475   2.682276   2.843893   -4.412828   -2.753846   -1.508864   -0.259385   0.296238    0.487025    -5.155321   -2.792529   -1.683157   -0.42571    0.131569    0.462752   
  3500.0   3.5      0.0    -4.314142   -3.296171   -2.035358   -0.98215    0.371702    -1.007451     -2.285382      0.110322       0.726742    1.193841   1.822562   2.622356   2.783212   -4.277075   -2.628221   -1.377211   -0.177852   0.353703    0.531662    -4.97453    -2.663005   -1.541604   -0.340602   0.199383    0.510344   
  3500.0   4.0      0.0    -4.14673    -3.134077   -1.833848   -0.807797   0.467228    -0.87734      -2.082301      0.211702       0.804196    1.233147   1.823823   2.514078   2.699277   -4.146818   -2.458083   -1.1768     -0.074626   0.417433    0.576795    -4.807687   -2.487234   -1.326131   -0.229059   0.279209    0.558476   
  3500.0   4.5      0.0    -4.073581   -3.03916    -1.697523   -0.6854     0.526115    -0.790414     -1.943921      0.276484       0.849324    1.249193   1.819647   2.44425    2.641867   -4.091807   -2.353183   -1.036242   -0.009487   0.452012    0.596971    -4.735844   -2.378154   -1.17341    -0.157548   0.325673    0.580904   
  3500.0   5.0      0.0    -4.102722   -3.011018   -1.61669    -0.604985   0.558091    -0.738248     -1.861106      0.313617       0.871031    1.24709    1.810614   2.409213   2.609346   -4.111912   -2.307293   -0.943576   0.028218    0.465796    0.59867     -4.763282   -2.329166   -1.071079   -0.115651   0.348305    0.58479    
  3750.0   -1.0     0.0    -6.346665   -3.336017   -1.31563    -0.343456   0.46877     -0.652279     -1.624408      0.306822       0.734829    1.158404   1.740679   2.428261   2.691864   -5.245753   -2.227281   -0.579017   -0.02802    0.306476    0.457708    -7.015253   -2.242206   -0.691653   -0.095308   0.211976    0.406386   
  3750.0   -0.5     0.0    -5.97862    -3.205351   -1.288939   -0.348689   0.459272    -0.65234      -1.596371      0.295186       0.722018    1.12985    1.719168   2.456134   2.705373   -5.153747   -2.153804   -0.585363   -0.037203   0.293212    0.437616    -6.641327   -2.167787   -0.693873   -0.10757    0.199886    0.391607   
  3750.0   0.0      0.0    -5.624668   -3.100516   -1.27992    -0.359901   0.453389    -0.655622     -1.582479      0.285607       0.714348    1.108983   1.702789   2.479238   2.713903   -5.032682   -2.105298   -0.599247   -0.043466   0.285947    0.424851    -6.282219   -2.118705   -0.705601   -0.117757   0.192929    0.384014   
  3750.0   0.5      0.0    -5.296      -3.019012   -1.285904   -0.377619   0.449864    -0.662874     -1.581668      0.276798       0.710637    1.094825   1.691335   2.498965   2.719373   -4.888977   -2.078152   -0.621332   -0.048326   0.283286    0.417939    -5.949204   -2.091339   -0.726971   -0.127375   0.189796    0.381976   
  3750.0   1.0      0.0    -5.000338   -2.956091   -1.303916   -0.401638   0.44792     -0.673942     -1.592017      0.268133       0.710018    1.086587   1.684641   2.516047   2.722857   -4.733153   -2.067722   -0.651606   -0.052633   0.284213    0.415811    -5.650813   -2.081015   -0.757636   -0.137185   0.189519    0.384297   
  3750.0   1.5      0.0    -4.741465   -2.90717    -1.33094    -0.430785   0.447274    -0.687878     -1.611098      0.259698       0.711921    1.083574   1.682413   2.530418   2.724559   -4.577644   -2.068911   -0.688465   -0.056302   0.288155    0.417824    -5.391384   -2.08256    -0.795792   -0.146858   0.191637    0.390225   
  3750.0   2.0      0.0    -4.520328   -2.868197   -1.363389   -0.462655   0.448336    -0.702849     -1.635647      0.252388       0.716282    1.085358   1.684508   2.541907   2.724318   -4.434151   -2.077319   -0.729307   -0.058692   0.294862    0.423602    -5.172467   -2.091473   -0.838652   -0.155463   0.196061    0.399333   
  3750.0   2.5      0.0    -4.335185   -2.835161   -1.396508   -0.493298   0.452315    -0.715982     -1.661056      0.247966       0.723705    1.091856   1.690879   2.549931   2.721225   -4.309346   -2.087065   -0.768705   -0.057562   0.305299    0.433774    -4.991535   -2.101719   -0.880383   -0.160375   0.204065    0.412288   
  3750.0   3.0      0.0    -4.183155   -2.804122   -1.423885   -0.516836   0.46169     -0.723051     -1.681002      0.249422       0.73592     1.103614   1.701595   2.552723   2.713081   -4.207047   -2.094929   -0.802      -0.051301   0.319977    0.44838     -4.846637   -2.109962   -0.915807   -0.159724   0.216497    0.429259   
  3750.0   3.5      0.0    -4.055458   -2.767494   -1.427216   -0.51502    0.484839    -0.711024     -1.677739      0.266936       0.759666    1.123829   1.7145     2.539026   2.690971   -4.117833   -2.087502   -0.807588   -0.03006    0.344766    0.47157     -4.725276   -2.102407   -0.922302   -0.14235    0.240591    0.454635   
  3750.0   4.0      0.0    -3.919984   -2.705539   -1.363808   -0.447579   0.535678    -0.65252      -1.610855      0.32007        0.805333    1.1551     1.718329   2.476289   2.635323   -4.009041   -2.033365   -0.736898   0.023434    0.387054    0.506829    -4.58985    -2.046807   -0.849972   -0.087005   0.28706     0.492064   
  3750.0   4.5      0.0    -3.778642   -2.626122   -1.271893   -0.356012   0.591897    -0.577853     -1.517105      0.382843       0.853521    1.185529   1.717939   2.384176   2.564395   -3.896142   -1.955444   -0.638183   0.084059    0.429428    0.540428    -4.44932    -1.967007   -0.748561   -0.021473   0.33554     0.527405   
  3750.0   5.0      0.0    -3.705217   -2.582615   -1.219435   -0.301036   0.62678     -0.532942     -1.462476      0.421086       0.883061    1.202386   1.71732    2.323929   2.51564    -3.839279   -1.911081   -0.578036   0.122954    0.455536    0.560076    -4.375675   -1.921274   -0.686      0.019958    0.365838    0.548428   
  4000.0   -1.0     0.0    -5.520534   -2.815113   -0.948915   -0.095056   0.586824    -0.437547     -1.276064      0.446388       0.809135    1.187498   1.704514   2.287301   2.505375   -4.989973   -1.777854   -0.312142   0.104824    0.365387    0.493816    -6.222745   -1.790247   -0.407409   0.060959    0.291753    0.443408   
  4000.0   -0.5     0.0    -5.204968   -2.690872   -0.916967   -0.096891   0.574       -0.434442     -1.242384      0.433681       0.79403     1.159368   1.684248   2.311963   2.518777   -4.867625   -1.701395   -0.313418   0.092971    0.349062    0.471148    -5.899786   -1.712964   -0.404165   0.047229    0.277211    0.424529   
  4000.0   0.0      0.0    -4.884354   -2.588315   -0.899582   -0.100731   0.565718    -0.43249      -1.219286      0.424713       0.783633    1.136845   1.667294   2.332226   2.527287   -4.712075   -1.646966   -0.317354   0.085732    0.338279    0.455       -5.572702   -1.657715   -0.405709   0.037856    0.267409    0.412512   
  4000.0   0.5      0.0    -4.583294   -2.506756   -0.893864   -0.106022   0.560799    -0.432008     -1.205218      0.418476       0.776848    1.119059   1.653381   2.349534   2.533093   -4.536719   -1.612384   -0.323357   0.081721    0.33164     0.443843    -5.266365   -1.622302   -0.410817   0.031545    0.261203    0.405628   
  4000.0   1.0      0.0    -4.317      -2.443012   -0.896923   -0.112707   0.55807     -0.433194     -1.198445      0.413876       0.772675    1.105157   1.642141   2.364227   2.537127   -4.35768    -1.593723   -0.331246   0.079637    0.328048    0.436437    -4.995781   -1.602794   -0.41869    0.027016    0.257598    0.4025     
  4000.0   1.5      0.0    -4.093466   -2.393433   -0.906053   -0.120677   0.556889    -0.435865     -1.19716       0.410262       0.770616    1.094763   1.633612   2.376617   2.539997   -4.191147   -1.58728    -0.341126   0.078544    0.326816    0.431975    -4.769215   -1.595499   -0.428946   0.023315    0.255963    0.402198   
  4000.0   2.0      0.0    -3.915497   -2.355616   -0.919637   -0.130129   0.55692     -0.439969     -1.200375      0.407188       0.770409    1.087676   1.627936   2.386878   2.542033   -4.050224   -1.58997    -0.3532     0.07806     0.327678    0.430115    -4.590042   -1.59736    -0.4415     0.020018    0.256106    0.404241   
  4000.0   2.5      0.0    -3.781203   -2.327798   -0.936507   -0.141065   0.55834     -0.445214     -1.207348      0.404679       0.772182    1.084009   1.625356   2.39499    2.543287   -3.941935   -1.599537   -0.3677     0.078179    0.330577    0.43079     -4.456918   -1.60615    -0.456452   0.017049    0.258057    0.408438   
  4000.0   3.0      0.0    -3.685274   -2.308568   -0.955759   -0.153109   0.561714    -0.451019     -1.217375      0.403182       0.776327    1.083996   1.626155   2.400916   2.543508   -3.866256   -1.613968   -0.384187   0.079689    0.33596     0.434404    -4.364132   -1.619872   -0.473347   0.015144    0.262384    0.415132   
  4000.0   3.5      0.0    -3.620469   -2.296574   -0.975725   -0.1644     0.568621    -0.455679     -1.228814      0.404304       0.784124    1.08844    1.630728   2.403683   2.541264   -3.818115   -1.631566   -0.400922   0.084217    0.344891    0.441845    -4.303715   -1.636815   -0.490451   0.015939    0.270272    0.425275   
  4000.0   4.0      0.0    -3.568555   -2.288865   -0.986832   -0.163913   0.586631    -0.450021     -1.233073      0.416916       0.802517    1.102134   1.637469   2.390579   2.525951   -3.776766   -1.64465    -0.40538    0.100446    0.363808    0.458522    -4.254133   -1.64929    -0.495778   0.028882    0.288868    0.444418   
  4000.0   4.5      0.0    -3.481922   -2.27199    -0.967021   -0.131312   0.622849    -0.418573     -1.210524      0.45273        0.837452    1.127616   1.637916   2.336234   2.480333   -3.696228   -1.63247    -0.372791   0.138011    0.397347    0.487463    -4.163971   -1.636558   -0.465509   0.066273    0.324159    0.475477   
  4000.0   5.0      0.0    -3.374929   -2.241644   -0.934461   -0.090673   0.660943    -0.380437     -1.176424      0.49201        0.873401    1.153629   1.636997   2.261961   2.423247   -3.60264    -1.603757   -0.330912   0.17811     0.43109     0.516316    -4.054661   -1.607449   -0.425416   0.107291    0.360273    0.506013   
  4250.0   -1.0     0.0    -4.575407   -2.387692   -0.690699   0.075856    0.674253    -0.278283     -1.020946      0.546042       0.857749    1.190052   1.650852   2.156867   2.331279   -4.568142   -1.44007    -0.132942   0.203447    0.403965    0.512659    -5.298818   -1.450741   -0.216017   0.17374     0.346006    0.468084   
  4250.0   -0.5     0.0    -4.343406   -2.276244   -0.659075   0.072438    0.657852    -0.275779     -0.987612      0.530379       0.841516    1.164164   1.633324   2.176909   2.34441    -4.435279   -1.367257   -0.135532   0.187154    0.385548    0.488234    -5.061331   -1.37755    -0.21336    0.155844    0.329982    0.445464   
  4250.0   0.0      0.0    -4.090609   -2.182539   -0.639534   0.067497    0.646653    -0.27386      -0.963398      0.519057       0.830209    1.143708   1.61852    2.192475   2.352052   -4.268184   -1.312487   -0.140321   0.176318    0.373037    0.470748    -4.803192   -1.322361   -0.215068   0.143146    0.318876    0.430499   
  4250.0   0.5      0.0    -3.842381   -2.106781   -0.630155   0.0616      0.639148    -0.27306      -0.947235      0.510872       0.822254    1.127202   1.606014   2.205615   2.356904   -4.083456   -1.274217   -0.146341   0.169499    0.364705    0.45832     -4.550241   -1.283608   -0.219608   0.134402    0.311268    0.421055   
  4250.0   1.0      0.0    -3.614878   -2.04598    -0.628625   0.055463    0.634337    -0.273217     -0.937262      0.50507        0.816694    1.113707   1.595416   2.217232   2.360377   -3.897809   -1.249832   -0.15287    0.165519    0.359291    0.449533    -4.318885   -1.25862    -0.225758   0.128537    0.306102    0.415544   
  4250.0   1.5      0.0    -3.418574   -1.997654   -0.633192   0.049473    0.631418    -0.274213     -0.932073      0.501006       0.812866    1.102615   1.58642    2.227426   2.363015   -3.727128   -1.237084   -0.159461   0.163476    0.356017    0.443456    -4.119863   -1.24509    -0.232653   0.1247      0.302689    0.412923   
  4250.0   2.0      0.0    -3.260487   -1.959925   -0.641945   0.044116    0.629972    -0.275674     -0.930279      0.498389       0.810494    1.09372    1.579074   2.236253   2.365184   -3.584913   -1.233763   -0.165655   0.162777    0.354452    0.439517    -3.960542   -1.240799   -0.239489   0.122358    0.300658    0.412509   
  4250.0   2.5      0.0    -3.145094   -1.931984   -0.653294   0.039698    0.629771    -0.27732      -0.930953      0.497042       0.809467    1.086981   1.573558   2.243603   2.367063   -3.479986   -1.238199   -0.171183   0.163069    0.35438     0.437383    -3.845345   -1.24411    -0.245757   0.121193    0.299859    0.413842   
  4250.0   3.0      0.0    -3.072942   -1.913432   -0.666105   0.03641     0.630893    -0.278893     -0.933536      0.496981       0.809894    1.082527   1.570154   2.249518   2.368815   -3.414923   -1.249028   -0.175842   0.164369    0.355832    0.437011    -3.774501   -1.253721   -0.251115   0.121214    0.300428    0.416733   
